iter	Logloss
0	0.6371456146
1	0.5934406281
2	0.5656020164
3	0.5294277191
4	0.5013689995
5	0.4834033966
6	0.461608696
7	0.4406097412
8	0.4236844063
9	0.4106839657
10	0.3949845314
11	0.3834740877
12	0.3734811068
13	0.3616140842
14	0.3520822287
15	0.3447785378
16	0.3363806248
17	0.3265483618
18	0.3187706947
19	0.3125801563
20	0.3075359821
21	0.3022831917
22	0.2977547407
23	0.2924532175
24	0.2871887445
25	0.283353281
26	0.2793226719
27	0.2764751196
28	0.2724770069
29	0.2696980476
30	0.2674584389
31	0.263897562
32	0.2616447926
33	0.2589694977
34	0.2561783552
35	0.2533232927
36	0.2510818481
37	0.2487725973
38	0.2461917639
39	0.2438935757
40	0.2418809891
41	0.2397377729
42	0.2380420923
43	0.2360878468
44	0.2339343548
45	0.2323629618
46	0.2308529854
47	0.2289462566
48	0.227510047
49	0.2256887436
50	0.2244011164
51	0.2222887516
52	0.2210365295
53	0.2193734646
54	0.217491436
55	0.2161392689
56	0.2143215179
57	0.2127236843
58	0.2112513065
59	0.209981513
60	0.2088291168
61	0.2071621895
62	0.2061292171
63	0.2052467108
64	0.2043834686
65	0.2024976015
66	0.2015887499
67	0.2003181934
68	0.1993545055
69	0.198440814
70	0.1975885749
71	0.1967908978
72	0.1958150625
73	0.1950063109
74	0.1939562082
75	0.1929661036
76	0.1915496111
77	0.1906430721
78	0.1900258064
79	0.1892572403
80	0.188319993
81	0.1874639869
82	0.1868224621
83	0.1861669183
84	0.185590148
85	0.1846195102
86	0.1837441206
87	0.182919836
88	0.1821704388
89	0.1814668655
90	0.1805767298
91	0.1798371792
92	0.1790915132
93	0.177880621
94	0.1773724318
95	0.1767938852
96	0.1758389115
97	0.1751882195
98	0.1744572878
99	0.1737272739
100	0.1730903268
101	0.1722251058
102	0.1717616916
103	0.1712336421
104	0.1704619646
105	0.1695067644
106	0.1685899258
107	0.168482399
108	0.1682271242
109	0.1676389933
110	0.167007339
111	0.1664847493
112	0.1657500744
113	0.1651098013
114	0.1645810366
115	0.1639974713
116	0.1634310126
117	0.162835598
118	0.162326777
119	0.1617704868
120	0.1610949159
121	0.1603605032
122	0.159816885
123	0.1590778112
124	0.15857265
125	0.1580156803
126	0.1574453592
127	0.1567831516
128	0.1563677192
129	0.1556716919
130	0.1551481485
131	0.1546106219
132	0.1540719748
133	0.1534769773
134	0.1531001449
135	0.1524722099
136	0.1517758131
137	0.1513357878
138	0.1506559372
139	0.1499802589
140	0.1493638992
141	0.1488141298
142	0.1482919693
143	0.1477793217
144	0.1471805215
145	0.1466078997
146	0.1460704088
147	0.1454672217
148	0.144890368
149	0.1445848227
150	0.143831861
151	0.1432399511
152	0.1427224636
153	0.1420684814
154	0.1416252851
155	0.1407834888
156	0.140064621
157	0.13948915
158	0.1388863325
159	0.1382908344
160	0.1379078388
161	0.1373856425
162	0.1368768454
163	0.1364633322
164	0.1358026743
165	0.1352348685
166	0.1346943855
167	0.134412396
168	0.1339715481
169	0.1336220503
170	0.1330115676
171	0.1324085116
172	0.1317890644
173	0.1314302325
174	0.1309530735
175	0.1306497574
176	0.1300120592
177	0.1295015454
178	0.1291381598
179	0.1285718203
180	0.1280928493
181	0.1276731849
182	0.127163291
183	0.1265710115
184	0.1259715796
185	0.125326848
186	0.1249380827
187	0.1245184898
188	0.1239800453
189	0.1236307144
190	0.123288846
191	0.122964704
192	0.1224326253
193	0.1220830679
194	0.1215295076
195	0.1211837053
196	0.1207537889
197	0.1203704119
198	0.1201316595
199	0.1196202636
200	0.1191646814
201	0.1188851595
202	0.1184562445
203	0.1179694414
204	0.1175707459
205	0.117069006
206	0.1166929722
207	0.1162993431
208	0.1158117056
209	0.1155588984
210	0.1152105689
211	0.1147442818
212	0.1139313698
213	0.1134791613
214	0.1129764795
215	0.1126253605
216	0.1122629523
217	0.1118554115
218	0.1113839388
219	0.1108466864
220	0.1104680777
221	0.1099136829
222	0.1094781876
223	0.1091376543
224	0.1087617874
225	0.1084737301
226	0.10811584
227	0.1076888561
228	0.1072909355
229	0.1068737507
230	0.1066238284
231	0.1061080933
232	0.1057423592
233	0.1053875208
234	0.1049325466
235	0.1045125484
236	0.1041336536
237	0.1038090229
238	0.1035123944
239	0.1030990362
240	0.102649653
241	0.1023706675
242	0.1019483089
243	0.1015440702
244	0.1012322187
245	0.1009126902
246	0.1006238818
247	0.1003560185
248	0.1001202941
249	0.09984063506
451078
249	0.09356563091
